RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,STRATUM,INTERVIEW_START,INTERVIEW_END,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,GOVPROTCT,MOREGUNIMPACT,FIN_SIT,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RADIO,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,EDUCCAT,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACECMB,RACETHN,AGEGRP,AGECAT,BIRTHPLACE,GENDER,ADULTS,VOTED2024,VOTEGEN_POST,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
6862,2,1,,9,5/13/2025,5/13/2025,2,1,2,2,2,2,3,3,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,5,5,2,2,2,1,1,,1,2,1,1,11,4,1,1,1,1,1,1,1,1,0.450900596,0.22111566
11555,2,1,,7,5/2/2025,5/2/2025,4,2,1,2,2,2,1,1,4,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,6,1,1,1,1,2,,2,1,1,3,4,2,1,2,2,1,2,8,3,1,0.35499632,0.282451617
13673,1,1,9,10,3/2/2025,3/2/2025,2,3,2,1,2,2,1,2,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,6,4,2,2,1,1,4,1,2,3,2,2,2,3,5,2,1,4,1,2,2,,5,1,1,0.802200473,2.422277637
14364,1,1,9,10,3/15/2025,3/15/2025,3,3,1,2,4,2,3,2,1,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,12,3,2,6,6,4,6,3,1,2,,2,2,1,1,12,4,1,1,2,1,2,3,3,1,0.802200473,0.576657127
15793,3,2,9,10,3/6/2025,3/6/2025,3,2,1,1,4,2,1,3,4,2,1,1,2,2,1,4,1,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,5,6,1,2,3,2,4,2,2,1,99,3,5,2,4,2,2,2,,4,4,1,1.604400946,5.089685536
18408,2,1,,10,5/13/2025,5/13/2025,2,2,2,2,3,2,1,3,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,3,1,1,2,,2,2,1,1,6,2,1,2,2,1,2,7,4,1,1.604400946,1.208065249
5945,1,1,9,10,3/13/2025,3/13/2025,2,3,2,2,2,2,1,1,4,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,,1,2,1,1,10,4,1,2,2,1,1,4,2,1,0.802200473,0.536141614
16607,2,1,,7,5/2/2025,5/2/2025,2,1,2,2,2,2,2,4,4,2,2,2,6,4,,,,,,,,,,,,,,1,1,2,2,99,99,2,6,6,1,1,3,1,99,2,2,2,2,2,9,3,1,2,99,1,2,1,4,1,0.17749816,0.178049078
10500,1,1,9,2,3/3/2025,3/3/2025,2,1,1,2,2,2,1,1,4,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,5,6,4,6,1,1,2,,2,2,1,1,11,4,1,1,1,1,2,4,3,1,0.288681834,0.146442973
16442,1,1,9,10,2/28/2025,2/28/2025,2,3,2,2,2,2,3,1,4,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,4,3,1,2,2,2,1,,1,1,1,3,6,2,1,2,2,2,,7,3,1,0.802200473,0.869864375
13114,1,1,9,10,3/10/2025,3/10/2025,2,3,2,2,2,2,1,2,4,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,,1,1,1,3,9,3,2,2,1,1,1,5,1,1,0.401100237,0.381063
4142,2,1,,10,5/9/2025,5/9/2025,3,1,3,2,2,1,2,4,4,2,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,5,6,2,2,2,2,1,,1,2,1,1,10,4,1,2,2,2,,5,3,2,1.604400946,1.231088587
812,1,1,9,10,2/19/2025,2/19/2025,3,3,2,2,3,1,3,2,4,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,12,3,2,6,6,4,7,1,1,3,1,1,2,1,1,5,2,1,1,2,2,,6,4,1,0.802200473,1.26766032
10250,2,1,,10,5/8/2025,5/8/2025,4,1,3,1,3,1,2,3,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,6,6,1,1,3,1,1,,1,2,1,1,7,3,1,2,2,1,1,1,3,2,1.604400946,1.125829325
3716,1,1,9,1,2/25/2025,2/25/2025,1,2,1,2,1,99,2,4,2,1,1,1,1,1,2,,1,99,1,99,1,1,99,99,1,99,1,99,99,,2,99,99,99,99,99,99,99,99,99,99,99,9,99,99,99,4,2,1,1,99,99,,99,3,1,0.160164299,0.068940742
9247,1,1,9,7,3/3/2025,3/3/2025,4,2,1,2,4,2,3,1,4,2,1,1,2,2,1,4,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,12,3,1,1,3,3,2,2,2,3,2,2,1,5,3,1,1,3,1,3,1,2,1,4,1,0.26624724,0.799359311
14233,2,1,,7,5/12/2025,5/12/2025,3,3,3,2,3,2,3,2,4,2,1,1,4,3,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,4,6,2,2,2,1,3,2,2,2,1,1,11,4,1,1,1,1,2,3,3,2,0.17749816,0.102700484
13255,2,1,,10,5/6/2025,5/6/2025,2,1,3,2,3,1,2,1,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,12,3,2,5,6,4,5,2,1,1,,1,2,1,1,7,3,1,1,2,1,1,8,3,2,1.604400946,1.373641014
1564,2,1,,10,5/5/2025,5/5/2025,3,2,1,2,4,2,1,2,4,1,1,1,3,3,1,2,1,99,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,4,6,3,6,3,1,2,,2,2,1,1,12,4,1,2,1,1,2,1,1,1,0.802200473,0.714638785
780,1,1,9,10,3/23/2025,3/23/2025,1,2,1,2,2,2,1,1,4,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,10,3,2,5,5,3,6,1,2,3,2,2,2,2,2,3,2,4,1,2,2,,8,1,1,0.802200473,2.171549037
11181,1,1,9,10,3/3/2025,3/3/2025,3,1,3,2,2,1,1,3,4,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,5,6,2,1,3,1,1,,1,2,1,1,10,4,1,2,1,1,1,1,1,1,0.401100237,0.318058784
5145,2,1,,10,5/22/2025,5/22/2025,3,3,3,2,3,1,3,1,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,5,5,1,3,3,1,3,2,2,2,1,1,10,4,1,1,99,1,2,6,2,1,0.802200473,0.501988575
16368,1,1,9,1,3/29/2025,3/29/2025,3,2,1,2,3,2,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,5,6,1,1,2,2,2,,2,2,2,2,5,2,1,1,1,1,2,2,2,1,0.08008215,0.107500695
14782,3,1,9,10,2/27/2025,2/27/2025,3,1,3,1,2,2,2,3,4,2,2,2,6,4,,,,,,,,,,,,,,1,1,2,1,12,3,2,5,6,2,7,3,1,3,1,1,2,5,4,10,4,1,1,2,1,1,3,2,1,1.604400946,2.84738568
3017,1,1,9,10,3/2/2025,3/2/2025,2,2,2,2,2,2,3,2,4,2,1,1,3,3,1,2,1,1,2,2,99,2,2,2,1,2,2,1,1,1,1,2,2,2,4,6,2,2,2,1,2,,2,2,1,1,11,4,1,1,2,1,2,5,4,1,0.802200473,0.437743717
7158,1,1,9,10,3/5/2025,3/5/2025,1,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,5,6,3,7,1,1,1,,1,2,1,1,13,4,1,1,1,1,1,8,4,1,0.401100237,0.23428707
14402,1,1,9,10,3/9/2025,3/9/2025,2,1,1,2,3,2,2,1,4,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,4,1,2,1,1,1,,1,2,1,1,2,1,1,2,3,1,1,5,1,1,1.20330071,1.806082241
13349,2,1,,10,5/6/2025,5/6/2025,3,2,3,2,3,2,1,2,4,2,2,2,6,4,,,,,,,,,,,,,,1,1,2,1,2,2,2,6,6,2,7,3,1,2,,2,2,1,1,11,4,1,1,99,1,2,4,2,1,1.604400946,1.318768143
14373,1,1,9,10,2/25/2025,2/25/2025,3,2,2,2,2,2,1,3,4,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,10,3,1,6,6,4,7,1,1,3,2,2,2,1,1,3,2,1,2,1,1,2,4,3,1,0.401100237,0.372313934
6489,2,1,,10,5/21/2025,5/21/2025,2,1,3,2,3,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,4,1,1,1,1,1,,1,2,1,1,12,4,1,2,2,1,1,4,3,2,1.604400946,0.697829498
11684,2,1,,10,5/12/2025,5/12/2025,2,3,2,2,2,2,2,3,4,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,3,5,1,2,2,2,1,,1,2,1,1,4,2,1,2,2,2,,6,1,1,1.604400946,3.476063447
17455,2,1,9,10,5/14/2025,5/14/2025,3,1,3,1,2,2,2,3,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,6,6,3,7,3,1,1,,1,2,1,1,9,3,1,1,2,1,1,3,3,1,1.604400946,2.190711189
1698,2,1,,10,5/5/2025,5/5/2025,4,3,2,2,4,1,2,4,2,1,1,1,3,3,1,2,1,1,2,99,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,5,1,1,2,1,1,,1,2,1,1,7,3,1,2,4,1,1,4,1,1,2.406601419,1.448516226
2820,1,1,9,9,2/24/2025,2/24/2025,3,2,1,2,3,2,1,3,4,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,5,5,2,1,2,1,2,,2,1,4,3,2,1,1,2,2,2,,2,2,1,0.450900596,0.935728008
11520,2,1,,10,5/13/2025,5/13/2025,3,3,2,2,3,2,3,3,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,4,5,2,5,1,1,1,,1,2,1,1,8,3,1,1,4,1,1,6,1,1,2.406601419,1.622894397
1644,2,1,,10,4/30/2025,4/30/2025,3,2,2,2,2,2,3,2,4,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,6,6,2,1,3,1,3,2,2,1,1,3,7,3,1,2,3,1,2,5,4,1,2.406601419,1.793223174
533,1,2,10,6,3/2/2025,3/2/2025,2,1,1,2,2,2,3,3,4,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,10,3,2,6,6,4,1,3,2,4,99,9,1,99,3,7,3,4,1,1,2,,1,4,1,0.391565421,1.754352391
12802,1,1,9,6,2/24/2025,2/24/2025,4,2,2,2,3,2,1,2,4,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,4,2,1,1,1,2,2,,2,1,99,3,1,1,1,2,1,2,,1,1,1,0.391565421,0.893387681
15977,2,1,,10,5/2/2025,5/2/2025,2,1,2,1,3,1,2,2,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,2,4,1,1,1,1,1,,1,2,3,5,4,2,4,1,2,1,1,6,3,1,1.604400946,1.828096623
7189,1,1,9,10,3/11/2025,3/11/2025,3,1,2,1,2,2,2,2,4,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,5,6,2,1,1,1,1,,1,2,1,1,10,4,1,1,2,1,1,4,3,1,0.802200473,0.267073793
17593,2,1,,7,5/15/2025,5/15/2025,4,3,1,1,2,1,2,2,4,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,4,6,1,1,1,1,1,,1,1,4,3,10,4,4,1,1,1,1,5,4,1,0.17749816,0.104098546
11126,1,1,9,10,3/8/2025,3/8/2025,2,2,2,2,2,2,3,3,4,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,10,3,2,6,6,4,6,1,1,2,,2,2,1,1,7,3,1,1,2,1,2,5,4,1,0.802200473,0.495414459
1641,2,1,,10,5/23/2025,5/23/2025,2,3,3,1,2,2,1,2,4,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,4,6,2,3,2,1,1,,1,2,1,1,4,2,1,1,2,2,,4,1,2,1.604400946,3.75301257
7003,1,1,9,7,2/25/2025,2/25/2025,4,1,1,2,4,2,1,3,4,2,1,1,4,3,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,3,5,1,3,2,1,2,,2,2,4,4,2,1,1,2,1,2,,1,4,1,0.08874908,0.448756165
12054,2,1,,10,6/2/2025,6/2/2025,2,2,2,2,3,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,10,3,2,6,6,3,7,1,1,2,,2,2,1,1,11,4,1,1,2,1,2,8,3,1,1.604400946,0.696789034
7351,1,1,9,10,3/7/2025,3/7/2025,3,3,1,2,3,2,1,1,4,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,10,3,2,5,6,3,2,1,1,3,2,2,2,1,1,4,2,4,2,2,1,2,8,1,1,0.802200473,0.761703334
8105,2,1,,10,5/30/2025,5/30/2025,4,3,1,2,3,2,3,2,4,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,99,4,3,1,1,1,1,2,,2,2,1,1,7,3,1,2,1,1,2,6,4,1,0.802200473,0.486655742
8341,1,1,9,10,3/22/2025,3/22/2025,2,1,2,1,3,2,2,1,4,99,1,1,1,1,1,2,1,1,99,99,99,99,99,99,99,99,99,2,2,,1,12,3,1,1,3,2,1,3,2,3,2,2,2,1,1,6,2,1,2,2,2,,1,3,1,0.802200473,2.078054546
15215,1,2,9,8,3/25/2025,3/25/2025,2,3,1,2,3,2,3,2,4,2,99,1,3,3,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,5,5,3,2,3,2,3,2,2,1,99,3,9,3,4,1,4,2,,3,4,1,0.577446638,2.574970243
11677,2,2,,8,5/6/2025,5/6/2025,4,1,1,1,4,2,1,3,4,2,1,1,1,1,1,2,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,2,2,2,5,2,1,2,99,1,2,,2,1,1,3,13,4,4,2,3,1,2,99,4,1,1.154893275,0.692556322
17186,1,1,9,10,3/11/2025,3/11/2025,3,1,2,1,2,2,3,2,4,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,5,6,3,5,1,1,1,,1,2,1,1,5,2,1,1,2,1,1,7,1,1,0.802200473,1.002498227
5402,2,1,,10,5/16/2025,5/16/2025,1,2,1,2,1,1,3,1,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,6,6,3,6,1,1,1,,1,2,1,1,8,3,1,1,3,1,1,8,3,1,2.406601419,2.177849204
8272,2,1,,8,5/1/2025,5/1/2025,2,2,2,1,2,2,2,2,4,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,4,1,1,1,1,1,,1,2,3,5,10,4,4,2,3,1,2,8,4,1,1.154893275,0.544822326
5899,1,1,9,10,2/25/2025,2/25/2025,2,2,3,2,1,2,3,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,5,6,1,2,1,1,2,,2,2,1,1,9,3,1,2,2,1,2,5,1,2,0.802200473,0.504763354
8863,2,1,,10,5/8/2025,5/8/2025,2,2,1,2,2,2,1,2,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,12,3,2,5,6,4,5,1,1,2,,2,2,1,1,11,4,1,1,1,1,2,4,2,1,0.802200473,0.31576571
17450,2,1,,10,5/5/2025,5/5/2025,3,1,3,2,2,2,3,4,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,,1,2,1,1,10,4,1,1,2,2,,2,3,1,1.604400946,2.297469083
17434,1,1,9,10,2/24/2025,2/24/2025,3,1,2,2,3,2,1,3,4,2,1,2,5,4,2,,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,6,1,2,3,1,2,,2,1,1,3,13,4,1,2,2,1,2,4,4,1,0.802200473,0.563412988
2616,1,1,9,9,3/10/2025,3/10/2025,3,3,1,2,4,2,1,3,4,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,5,6,1,1,2,1,1,,1,2,1,1,6,2,1,2,2,1,1,3,3,1,0.450900596,0.347714978
14436,2,1,,10,5/5/2025,5/5/2025,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,3,6,3,5,1,1,1,,1,2,1,1,12,4,1,1,2,1,1,8,3,1,1.604400946,0.508456002
10828,2,1,,2,5/9/2025,5/9/2025,3,3,2,2,3,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,3,1,2,1,1,2,,2,2,2,2,10,4,1,2,1,1,2,2,3,1,0.577363669,0.327097783
8391,1,2,10,7,3/14/2025,3/14/2025,2,1,2,1,3,2,1,2,4,2,1,1,2,2,2,,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,4,2,2,3,2,2,3,1,1,1,2,3,2,1,1,2,3,2,,4,3,1,0.26624724,0.647289689
8108,1,1,9,1,3/25/2025,3/25/2025,4,3,1,2,3,2,1,3,4,2,1,1,1,1,1,2,1,2,99,99,1,99,99,99,99,99,99,2,1,1,2,1,1,2,5,6,1,5,3,1,2,,2,2,1,1,8,3,1,1,2,1,2,2,2,1,0.160164299,0.187864726
5136,1,1,9,10,2/26/2025,2/26/2025,2,2,3,2,2,2,1,2,2,1,1,2,3,3,2,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,5,1,1,1,1,2,,2,2,1,1,11,4,1,2,2,1,2,4,2,1,0.802200473,0.302337765
1220,1,1,9,10,2/10/2025,2/10/2025,4,3,2,2,2,2,3,2,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,3,2,1,1,1,1,3,1,1,2,5,4,3,2,1,2,2,1,99,7,3,1,0.802200473,1.11576188
503,1,1,9,10,3/4/2025,3/4/2025,2,3,2,2,2,2,3,1,4,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,10,3,2,6,6,4,7,1,1,2,,2,2,1,1,5,2,1,1,2,1,2,7,4,1,0.802200473,0.628111477
301,2,1,,10,6/2/2025,6/2/2025,3,3,3,2,3,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,6,6,2,1,2,1,1,,1,2,1,1,8,3,4,1,1,1,1,5,2,2,0.802200473,0.526881658
3930,2,1,,10,5/2/2025,5/2/2025,1,1,1,1,1,1,3,1,4,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,5,3,6,1,1,1,,1,2,1,1,12,4,1,1,2,2,,8,3,1,1.604400946,1.40924824
16916,1,1,9,10,2/26/2025,2/26/2025,2,3,2,2,2,2,2,1,4,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,5,1,1,1,1,3,1,1,2,1,1,9,3,1,1,2,1,3,8,3,1,0.802200473,0.177564841
18133,2,1,,10,5/21/2025,5/21/2025,2,3,3,2,3,1,3,1,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,5,4,2,4,4,2,6,1,1,3,2,2,2,1,1,10,4,1,1,2,1,2,8,1,1,1.604400946,0.470573071
456,2,1,,10,5/5/2025,5/5/2025,2,1,3,1,2,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,12,3,1,6,6,4,7,2,1,3,1,1,2,1,1,12,4,1,2,2,1,1,4,2,1,1.604400946,0.664533271
16837,1,1,9,10,3/27/2025,3/27/2025,3,2,3,2,2,99,3,3,4,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,3,1,1,3,3,99,99,9,2,1,1,5,2,1,2,4,2,,4,2,2,1.20330071,1.715310945
6610,1,1,9,10,2/22/2025,2/22/2025,2,3,3,2,3,2,1,3,4,2,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,12,3,2,5,5,2,6,2,1,1,,1,2,1,1,10,4,1,1,1,1,1,1,3,1,0.401100237,0.245640123
5636,2,1,,2,5/2/2025,5/2/2025,3,2,3,99,3,2,1,1,4,1,1,1,4,3,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,5,1,1,2,2,4,99,9,2,2,2,12,4,3,2,2,2,,2,3,1,1.154727337,1.538121606
3637,2,1,,4,5/5/2025,5/5/2025,2,1,1,1,2,2,3,3,4,2,1,1,3,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,4,1,1,1,3,2,3,1,1,2,2,2,10,4,4,2,2,1,1,1,3,1,1.681551118,1.432031631
